Date,BTC-USD,ETH-USD,GME,AMC,AMZN,WMT,NVDA,AMD,AAPL,MSFT,DIS,PYPL
2015-08-06,279.5849914550781,2.7721199989318848,46.24,30.64,550.14,75.47,5.3191,2.15,29.8157,46.92,110.76,39.93
2015-08-07,260.99700927734375,0.7533249855041504,46.32,29.76,542.82,73.84,5.792,2.17,29.14,48.76,112.01,40.75
2015-08-10,270.385986328125,1.0678600072860718,46.83,30.4,548.0,74.96,6.045,1.95,30.11,49.43,116.0,39.82
2015-08-11,266.3760070800781,1.2174400091171265,45.91,29.31,539.81,75.29,6.031,2.0,29.6513,47.56,110.0,39.7
2015-08-12,264.0799865722656,1.8276699781417847,47.89,28.49,529.65,73.14,6.07,2.0,29.66,47.2,109.84,38.59
2015-08-13,265.67999267578125,1.8278700113296509,47.2,29.22,553.68,73.07,5.88,1.84,28.8295,48.75,107.79,37.7
2015-08-14,261.5509948730469,1.6888999938964844,48.63,29.95,552.52,75.29,5.914,1.85,29.76,48.0,107.19,38.72
2015-08-17,211.07899475097656,1.087049961090088,47.17,31.65,547.34,75.05,6.0451,1.9,30.41,47.65,109.37,40.21
2015-08-18,226.6840057373047,1.2588599920272827,47.19,31.93,541.1,70.16,5.99,1.8,29.215,47.98,110.14,38.44
2015-08-19,235.35000610351562,1.4649200439453125,48.35,32.0,551.07,71.88,5.8414,1.8,29.8784,46.96,109.94,37.49
2015-08-20,232.56900024414062,1.3952900171279907,47.41,29.9,525.94,70.25,5.71,1.7,28.8842,46.9,103.68,37.08
2015-08-21,230.38999938964844,1.37923002243042,46.82,29.62,504.8,68.8,5.6051,1.84,27.59,45.22,99.63,35.77
2015-08-24,221.60899353027344,1.1401900053024292,43.22,28.0,464.91,64.29,5.1798,1.83,26.19,43.3,98.57,34.16
2015-08-25,225.83099365234375,1.159980058670044,44.15,28.67,470.81,65.4,5.29,1.74,26.241,40.69,96.1,33.6
2015-08-26,224.7689971923828,1.1476999521255493,45.38,29.96,525.13,66.33,5.591,1.77,28.6097,43.64,102.27,34.0
2015-08-27,231.39599609375,1.1913800239562988,46.3,30.24,534.89,68.08,5.6724,1.84,28.74,44.4,107.01,35.3
2015-08-28,229.77999877929688,1.1825499534606934,43.58,30.45,522.93,65.97,5.8247,1.9,28.4642,45.0,103.74,36.54
2015-08-31,228.12100219726562,1.3516099452972412,42.68,29.83,518.49,66.79,5.72,1.85,28.22,43.77,102.76,35.0
2015-09-01,229.28399658203125,1.2947900295257568,41.34,28.29,500.77,64.86,5.63,1.73,27.97,43.23,99.67,34.0
2015-09-02,227.18299865722656,1.264930009841919,43.69,28.6,515.99,65.09,5.6859,1.84,28.72,45.35,102.54,35.53
2015-09-03,230.29800415039062,1.2744100093841553,41.85,28.18,506.19,66.12,5.6207,1.83,28.6073,44.5,103.64,36.69
2015-09-04,235.0189971923828,1.3388099670410156,42.44,28.3,509.0,66.88,5.6928,1.84,27.8929,43.57,105.2,35.0
2015-09-08,238.16799926757812,1.2065099477767944,42.93,28.09,536.62,68.03,5.77,1.94,28.7364,44.65,105.08,35.2
2015-09-09,238.4770050048828,1.1657700538635254,41.91,28.49,541.98,65.34,5.6369,1.85,28.6309,43.9,106.34,35.52
2015-09-10,240.10699462890625,0.9829779863357544,43.36,28.37,546.6,64.44,5.858,1.88,29.3243,44.98,103.4,33.55
2015-09-11,235.22900390625,1.0387400388717651,43.91,27.08,531.36,67.61,5.8476,2.1,29.4777,45.48,104.98,34.3
2015-09-14,230.3040008544922,0.9444100260734558,43.4,27.5,540.16,67.41,5.9403,1.91,29.4567,44.79,107.54,35.44
2015-09-15,229.09100341796875,0.9071750044822693,44.0,27.42,540.88,66.96,5.861,1.94,30.14,45.81,103.86,35.0
2015-09-16,229.80999755859375,0.8742309808731079,45.84,28.27,536.82,66.42,5.907,1.97,30.3711,45.2,107.21,34.08
2015-09-17,232.97500610351562,0.8536850214004517,44.76,27.62,565.49,65.19,5.8876,1.98,28.83,44.88,108.1,33.51
2015-09-18,231.4929962158203,0.8823909759521484,42.66,28.79,554.79,64.8,6.1012,1.92,29.3177,44.6,102.98,33.89
2015-09-21,230.6179962158203,0.9017959833145142,43.29,27.65,564.96,64.61,6.0747,1.83,29.3335,44.67,106.84,35.84
2015-09-22,230.2830047607422,0.8934059739112854,43.01,26.46,548.1,65.83,6.0049,1.75,28.6,44.7,105.51,34.62
2015-09-23,234.5290069580078,0.8136100172996521,42.04,25.42,553.3,66.53,5.88,1.7,29.04,44.64,103.0,34.89
2015-09-24,235.1439971923828,0.7362229824066162,42.9,26.63,555.44,64.03,5.88,1.72,29.31,45.18,103.1,35.57
2015-09-25,234.33999633789062,0.7859640121459961,42.0,26.59,549.95,66.28,6.1807,1.75,29.3506,45.16,102.0,35.13
2015-09-28,236.68699645996094,0.6611459851264954,41.2,25.15,511.04,63.79,5.861,1.66,28.66,44.59,99.07,32.44
2015-09-29,236.05999755859375,0.738644003868103,40.86,24.52,502.51,66.7,5.9571,1.69,27.908,43.48,99.79,30.76
2015-09-30,237.5489959716797,0.690214991569519,43.1,25.81,516.63,65.64,6.3646,1.74,28.459,44.63,107.0,32.08
2015-10-01,237.29299926757812,0.6785740256309509,41.89,25.67,541.61,64.95,6.2645,1.8,28.342,46.55,105.49,32.27
2015-10-02,238.72999572753906,0.6871709823608398,42.5,26.07,546.16,67.34,6.5,1.9,28.956,45.69,106.0,33.53
2015-10-05,246.06300354003906,0.6506450176239014,43.88,26.1,556.76,66.3,6.537,1.8,28.008,47.72,108.28,34.02
2015-10-06,242.968994140625,0.609387993812561,45.14,27.18,559.5,66.87,6.6244,1.9,29.214,47.91,106.96,32.79
2015-10-07,242.3040008544922,0.6217160224914551,44.62,27.55,550.99,66.68,6.634,1.87,28.871,49.0,104.16,32.73
2015-10-08,243.93099975585938,0.6506279706954956,44.98,28.15,556.15,67.42,6.5975,1.96,27.895,49.17,106.71,32.59
2015-10-09,244.9409942626953,0.6278570294380188,45.26,28.25,549.9,69.09,6.7498,1.99,28.3,47.55,107.02,32.12
2015-10-12,249.50799560546875,0.6076549887657166,44.8,27.73,555.85,67.43,6.7951,1.93,29.1,48.0,109.82,33.19
2015-10-13,251.98899841308594,0.5229679942131042,44.54,27.94,570.1,67.16,6.8,1.98,29.2247,47.84,108.2,34.6
2015-10-14,254.32000732421875,0.5618780255317688,45.17,28.19,561.54,60.46,6.88,2.0,28.3507,47.51,108.51,35.52
2015-10-15,262.8689880371094,0.5364949703216553,45.16,27.48,587.1,61.14,7.0941,1.98,28.817,48.57,109.87,35.19
2015-10-16,270.6400146484375,0.5471779704093933,45.91,28.1,571.06,61.32,7.231,1.98,28.82,49.2,108.51,34.47
2015-10-19,269.4630126953125,0.4348289966583252,45.17,27.9,576.22,59.07,7.0261,2.03,28.9539,48.22,113.96,36.34
2015-10-20,266.2720031738281,0.44732901453971863,46.9,27.23,569.01,61.21,7.1781,2.09,29.2017,48.72,113.87,35.12
2015-10-21,274.02301025390625,0.5677019953727722,48.09,25.84,560.11,60.49,7.1084,2.2,29.05,47.2,114.74,35.2
2015-10-22,276.4960021972656,0.5396569967269897,47.81,27.0,583.17,59.2,7.2,2.15,30.265,48.39,114.49,36.44
2015-10-23,281.65399169921875,0.5635899901390076,47.33,27.84,611.35,59.9,7.3259,2.29,31.19,55.44,115.45,36.44
2015-10-26,285.29998779296875,0.7313169836997986,44.93,27.32,635.53,59.64,7.414,2.25,29.73,54.7,118.98,36.75
2015-10-27,293.7879943847656,0.8696410059928894,45.88,27.07,617.37,58.19,7.46,2.24,28.8551,53.98,115.49,36.58
2015-10-28,304.6180114746094,1.0024800300598145,47.63,28.47,624.4,58.87,7.3298,2.28,29.9334,56.09,117.87,37.77
2015-10-29,313.8550109863281,1.2066600322723389,46.25,28.14,627.53,60.78,7.2,2.18,30.2053,55.57,115.98,37.65
2015-10-30,328.0150146484375,1.04121994972229,47.37,27.63,653.5,59.26,7.4274,2.2,30.851,53.79,116.83,37.16
2015-11-02,361.1889953613281,0.9897890090942383,47.96,28.1,638.32,59.72,7.398,2.25,31.102,55.17,116.1,38.68
2015-11-03,403.4169921875,1.0133600234985352,49.01,27.08,650.21,58.14,7.153,2.31,31.3432,54.21,116.44,39.0
2015-11-04,411.56298828125,0.8990499973297119,47.68,26.75,651.41,58.54,7.0202,2.2,30.6,56.5,116.81,38.4
2015-11-05,386.35400390625,0.8956369757652283,48.35,27.55,663.78,60.65,7.1029,2.2,30.52,55.55,113.0,38.0
2015-11-06,374.4700012207031,0.9260320067405701,47.57,27.65,689.85,58.8,8.2301,2.23,31.174,55.3,116.21,36.88
2015-11-09,380.2569885253906,0.9992780089378357,46.4,27.73,673.15,60.51,8.0648,2.13,30.2619,56.65,121.76,37.1
2015-11-10,336.8190002441406,0.9343479871749878,46.34,28.2,665.58,60.07,7.7063,2.1,30.3234,54.96,119.56,38.0
2015-11-11,311.0840148925781,0.791828989982605,44.95,27.72,683.11,58.38,8.0056,2.15,30.4051,53.84,122.26,36.64
2015-11-12,338.1520080566406,0.8957110047340393,45.62,27.09,685.6,57.28,7.8,2.0,28.94,54.07,117.48,35.59
2015-11-13,336.75299072265625,0.9040960073471069,37.32,26.6,653.04,57.82,7.65,2.03,28.763,55.44,118.99,35.31
2015-11-16,330.7510070800781,0.928961992263794,39.64,26.39,674.91,60.01,7.7,2.09,28.6539,55.329,119.24,36.53
2015-11-17,335.093994140625,1.0079799890518188,38.15,26.3,666.0,60.68,8.0,2.0,28.7222,53.25,120.55,37.54
2015-11-18,334.5899963378906,0.9933189749717712,38.41,27.28,681.65,61.51,8.1308,2.19,30.726,55.4,119.0,37.61
2015-11-19,326.14898681640625,0.9555320143699646,38.58,26.53,679.08,63.7,8.17,2.21,30.344,55.68,124.04,36.76
2015-11-20,322.0220031738281,0.9249200224876404,40.22,26.6,693.87,61.84,8.0824,2.25,30.929,54.99,124.34,38.07
2015-11-23,323.0459899902344,0.9469689726829529,37.64,25.48,694.61,62.14,7.95,2.31,30.1314,55.89,120.25,35.69
2015-11-24,320.0459899902344,0.9001910090446472,38.55,25.48,702.46,62.54,8.0517,2.41,30.41,55.45,119.48,35.5
2015-11-25,328.20599365234375,0.8635370135307312,37.3,25.52,699.78,60.58,7.9084,2.48,30.7647,54.49,119.77,35.87
2015-11-27,358.0419921875,0.867950975894928,37.69,25.14,705.91,60.41,7.999,2.34,30.6405,55.79,119.98,36.57
2015-11-30,377.3210144042969,0.8731189966201782,36.14,26.21,691.3,59.47,7.99,2.47,30.659,54.37,115.68,35.67
2015-12-01,362.4880065917969,0.8748000264167786,35.5,25.62,679.73,59.24,8.5263,2.42,29.698,55.7,119.25,35.48
2015-12-02,359.18701171875,0.8212100267410278,33.98,25.69,700.72,59.44,8.506,2.31,29.23,56.32,115.0,36.16
2015-12-03,361.0459899902344,0.8121430277824402,34.32,25.5,695.35,61.12,8.3249,2.27,29.4,56.5,117.12,34.93
2015-12-04,363.1830139160156,0.8400409817695618,34.1,24.7,695.01,61.87,8.8161,2.33,30.6899,56.95,118.78,35.78
2015-12-07,395.5360107421875,0.8112639784812927,33.48,23.93,686.05,62.4,8.551,2.448,29.78,58.16,115.26,35.72
2015-12-08,415.56298828125,0.8221179842948914,35.03,24.18,687.38,62.59,8.72,2.44,30.8701,56.33,116.42,35.8
2015-12-09,417.56298828125,0.7921670079231262,32.5,23.3,686.2,59.49,8.2029,2.35,29.079,57.34,115.89,36.48
2015-12-10,415.47900390625,0.840395987033844,32.75,24.47,687.55,60.4,8.44,2.49,29.0817,55.63,113.72,35.57
2015-12-11,451.93798828125,0.9297620058059692,31.0,23.24,654.19,61.7,8.1973,2.37,28.891,55.32,113.04,34.82
2015-12-14,444.1820068359375,0.9930220246315002,30.81,23.6,669.04,61.91,8.2067,2.39,28.89,57.17,110.74,35.58
2015-12-15,465.3210144042969,1.0141500234603882,31.87,24.71,678.89,60.35,8.5508,2.42,28.7439,55.9,116.09,36.9
2015-12-16,454.9339904785156,0.9911820292472839,31.16,26.5,678.66,60.8,8.4574,2.64,28.76,58.45,114.43,36.81
2015-12-17,456.0780029296875,0.9407010078430176,30.22,26.14,684.21,60.35,8.5106,2.58,27.452,56.0,114.51,35.71
2015-12-18,463.6159973144531,0.9201269745826721,28.78,25.93,682.9,60.5,8.134,2.47,26.5766,55.91,107.93,36.1
2015-12-21,438.6390075683594,0.9007710218429565,29.63,24.92,681.35,61.46,8.4925,2.57,27.0548,55.41,109.87,36.67
2015-12-22,436.5719909667969,0.8642020225524902,30.0,25.1,682.2,61.32,8.5018,2.79,27.8285,57.49,108.77,37.752
2015-12-23,442.4010009765625,0.8580769896507263,28.78,24.09,667.1,61.84,8.3672,2.92,28.0873,56.5,109.36,38.75
2015-12-24,454.9849853515625,0.8632619976997375,29.47,24.23,670.75,62.27,8.5325,2.94,28.0619,56.04,107.6,37.66
2015-12-28,422.27899169921875,0.8450049757957458,29.47,23.09,701.0,61.11,8.386,3.0,27.481,58.21,110.28,37.57
2015-12-29,432.9830017089844,0.873054027557373,29.73,23.74,722.66,64.36,8.58,3.0,28.327,59.03,110.78,38.84
2015-12-30,426.6199951171875,0.9119579792022705,29.84,24.65,705.27,62.98,8.4256,3.05,27.74,58.41,110.81,37.7
2015-12-31,430.5669860839844,0.933542013168335,28.39,24.0,698.32,61.7,8.65,2.9,26.408,57.4,105.9,37.8
2016-01-04,433.09100341796875,0.954479992389679,29.07,24.13,664.88,64.38,8.4371,2.9,27.0025,55.8,105.71,35.65
2016-01-05,431.9599914550781,0.9501760005950928,29.67,23.93,656.85,66.05,8.3365,2.86,25.9484,57.47,105.9,34.49
2016-01-06,429.1050109863281,0.9508600234985352,29.11,23.7,664.07,66.0,8.1033,2.548,25.827,54.82,102.65,35.43
2016-01-07,458.0480041503906,0.9420049786567688,28.95,23.55,637.31,65.85,7.86,2.381,25.1434,53.26,103.4,33.52
2016-01-08,453.2300109863281,0.9867889881134033,28.8,23.37,609.47,64.24,7.7498,2.14,25.32,53.1,103.59,34.16
2016-01-11,448.4280090332031,1.0615999698638916,30.78,22.61,645.84,65.27,7.62,2.42,25.1275,53.5,101.55,34.14
2016-01-12,435.69000244140625,1.1410000324249268,28.4,22.67,632.67,66.26,7.815,2.44,25.27,54.89,105.58,34.22
2016-01-13,432.3710021972656,1.1252000331878662,27.96,22.41,597.78,61.95,7.489,2.36,24.4705,53.87,101.97,33.22
2016-01-14,430.3059997558594,1.1895899772644043,26.49,22.0,617.0,64.12,7.3323,2.3,26.09,55.33,101.1,33.61
2016-01-15,364.33099365234375,1.208009958267212,26.53,21.52,585.69,63.03,7.1152,2.04,24.7908,51.07,97.3,32.72
2016-01-19,380.14898681640625,1.3713899850845337,25.91,21.24,581.12,64.22,7.1667,2.0,24.575,52.01,95.79,33.1
2016-01-20,420.2300109863281,1.5318200588226318,25.34,21.1,586.07,62.27,7.02,1.9,24.268,52.93,96.81,32.7
2016-01-21,410.2619934082031,1.553570032119751,26.26,20.84,577.85,64.95,7.23,2.14,25.083,51.87,97.99,31.2
2016-01-22,382.49200439453125,1.501270055770874,26.2,20.4,601.37,62.71,7.4453,2.1,25.779,54.6,98.9,32.85
2016-01-25,391.72601318359375,2.499269962310791,25.1,20.64,610.19,65.56,7.268,2.15,25.61,52.38,97.22,32.04
2016-01-26,392.15301513671875,2.276370048522949,27.16,22.39,620.72,66.0,7.295,2.15,25.3459,52.85,98.69,32.33
2016-01-27,394.97198486328125,2.388550043106079,27.38,21.17,586.96,66.07,7.2,2.18,23.519,51.72,97.12,32.03
2016-01-28,380.28900146484375,2.5264899730682373,26.8,21.29,652.35,65.02,7.2215,2.1,24.6618,53.216,97.59,35.06
2016-01-29,379.4739990234375,2.494960069656372,26.74,22.2,594.0,68.39,7.6378,2.3,25.534,57.47,97.18,37.65
2016-02-01,373.0559997558594,2.2116899490356445,26.96,21.48,583.32,69.1,7.588,2.17,24.6907,56.72,95.89,38.63
2016-02-02,374.447998046875,2.4396400451660156,26.66,21.5,560.0,69.8,7.025,2.02,24.14,54.0,95.77,37.28
2016-02-03,369.9490051269531,2.5286900997161865,26.37,21.16,543.8,68.6,7.05,2.08,25.2228,52.86,96.69,37.92
2016-02-04,389.593994140625,2.5780398845672607,27.12,22.1,538.96,69.37,7.2166,2.16,25.12,52.0,97.63,37.79
2016-02-05,386.54901123046875,2.538990020751953,27.08,20.71,510.66,70.0,6.9248,1.98,23.724,51.25,95.6,35.22
2016-02-08,373.4469909667969,3.1797900199890137,28.78,20.7,497.1,69.6,6.321,1.96,24.3159,51.45,93.84,33.99
2016-02-09,376.02899169921875,4.044640064239502,27.65,20.79,499.81,66.49,6.4322,2.0,24.6292,49.68,92.49,32.9
2016-02-10,381.64898681640625,4.436260223388672,26.68,20.89,503.76,68.75,6.5005,1.91,24.2006,52.09,92.25,33.7
2016-02-11,379.65399169921875,6.0131001472473145,27.32,21.39,520.57,65.92,6.423,1.86,24.182,50.28,91.91,34.28
2016-02-12,384.26300048828125,5.546979904174805,28.05,20.54,512.07,67.19,6.6411,1.9,23.6758,52.3,93.79,35.0
2016-02-16,407.4880065917969,4.3152899742126465,29.0,23.55,538.9,68.6,6.9521,1.92,25.04,52.31,96.31,36.75
2016-02-17,416.3219909667969,3.757240056991577,29.3,22.19,560.6,66.74,7.188,2.0,25.42,52.58,100.0,36.83
2016-02-18,422.37298583984375,4.399129867553711,29.61,22.06,527.0,65.56,7.55,1.96,24.185,53.58,98.19,37.99
2016-02-19,420.7850036621094,4.737889766693115,28.82,22.5,539.2,65.73,7.76,1.91,24.02,53.6,97.88,37.54
2016-02-22,437.74798583984375,5.616499900817871,29.33,22.5,586.7,67.39,7.96,2.04,25.2,55.08,98.77,37.0
2016-02-23,420.7359924316406,5.586209774017334,30.6,23.12,555.02,67.09,8.0,2.06,24.312,53.16,100.08,36.31
2016-02-24,424.9549865722656,6.2364702224731445,30.55,23.16,578.23,67.37,8.0,2.04,24.826,52.88,99.9,37.79
2016-02-25,424.54400634765625,6.104800224304199,31.43,22.52,580.25,68.66,8.365,2.11,24.95,52.1,97.92,37.72
2016-02-26,432.1520080566406,5.921669960021973,31.29,24.4,566.05,68.02,8.27,2.09,24.7501,51.8,98.88,38.7
2016-02-29,437.6969909667969,6.336989879608154,32.12,24.49,570.54,67.16,8.08,2.16,24.6437,51.77,98.8,38.83
2016-03-01,435.12298583984375,7.653689861297607,31.88,25.83,595.47,69.07,8.2022,2.28,25.2439,52.93,98.86,41.19
2016-03-02,423.989013671875,8.4653902053833,31.93,25.51,597.47,66.49,8.55,2.36,25.6158,55.57,101.0,40.05
2016-03-03,421.6510009765625,9.294150352478027,33.31,26.8,605.9,68.18,8.2905,2.55,25.698,54.78,103.1,40.62
2016-03-04,410.9389953613281,10.406000137329102,31.84,27.35,596.91,67.54,8.2302,2.38,25.8576,52.03,101.92,40.91
2016-03-07,414.3210144042969,9.552630424499512,32.19,29.83,581.3,68.14,8.479,2.55,26.0183,53.54,104.16,40.78
2016-03-08,413.97198486328125,9.847209930419922,30.14,29.26,577.44,71.21,8.0992,2.3,25.9017,53.65,101.93,39.89
2016-03-09,414.8599853515625,11.89799976348877,32.61,28.44,581.63,69.35,8.1288,2.28,26.43,54.31,98.39,40.07
2016-03-10,417.1310119628906,11.305000305175781,31.09,29.78,586.47,68.43,8.16,2.33,25.9591,53.62,97.12,39.15
2016-03-11,421.69000244140625,11.082799911499023,31.75,30.31,588.01,67.36,8.422,2.61,26.821,54.98,102.25,39.67
2016-03-14,416.43798828125,12.45259952545166,32.8,29.72,593.4,70.05,8.274,2.81,25.83,54.33,101.33,40.28
2016-03-15,416.8299865722656,13.010000228881836,31.9,29.17,577.04,70.77,8.082,2.51,26.909,54.79,101.95,39.5
2016-03-16,417.010986328125,12.520899772644043,33.27,30.0,582.77,71.27,8.281,2.74,26.9368,56.1,101.42,41.46
2016-03-17,420.6210021972656,11.081500053405762,32.24,29.97,586.94,70.07,8.314,2.8,26.96,55.81,103.5,41.88
2016-03-18,409.5480041503906,10.998100280761719,31.36,30.56,572.42,69.49,8.558,3.06,26.61,55.02,102.0,40.7
2016-03-21,413.3070068359375,11.864100456237793,31.78,29.51,560.74,69.13,8.7233,2.9,27.0573,56.32,100.11,42.27
2016-03-22,418.0889892578125,11.274800300598145,30.22,28.84,569.99,71.08,8.5151,2.84,27.95,55.81,100.53,42.96
2016-03-23,418.0409851074219,12.41670036315918,31.4,27.97,569.77,69.56,8.8978,2.71,27.1892,55.5,100.09,41.07
2016-03-24,416.3940124511719,11.234999656677246,31.44,28.7,587.64,68.0,8.85,2.93,26.677,56.24,101.55,40.74
2016-03-28,416.5159912109375,11.656399726867676,30.2,30.15,592.93,70.85,9.1112,2.78,27.0213,56.05,102.88,39.18
2016-03-29,414.8160095214844,11.952899932861328,31.58,29.17,615.4,69.83,9.0268,2.95,28.06,55.95,101.65,40.52
2016-03-30,416.72900390625,11.403499603271484,32.18,28.93,607.13,69.1,9.29,2.87,28.5,56.01,102.97,40.13
2016-03-31,417.9599914550781,11.663599967956543,31.94,29.12,605.78,69.97,9.1991,2.92,27.7256,55.34,103.05,39.6
2016-04-01,420.87298583984375,11.598899841308594,31.98,29.29,619.0,69.87,9.3508,2.96,27.9894,56.29,102.84,39.8
2016-04-04,424.0299987792969,10.43809986114502,31.91,27.96,596.08,71.5,9.22,2.88,28.58,57.46,102.58,39.04
2016-04-05,423.4129943847656,10.685400009155273,31.79,28.44,604.33,71.18,9.2419,2.76,27.9491,56.33,101.0,40.21
2016-04-06,422.7449951171875,10.069700241088867,30.94,28.61,616.8,70.22,9.17,2.9,28.8,56.45,102.29,39.5
2016-04-07,420.3489990234375,9.719590187072754,29.75,28.2,601.68,70.75,9.0062,2.68,27.896,54.52,97.92,39.28
2016-04-08,419.4110107421875,9.150620460510254,30.57,27.46,604.6,69.09,8.985,2.8,27.613,54.97,99.35,40.17
2016-04-11,425.19000244140625,7.442309856414795,31.2,27.85,624.2,68.5,9.41,2.9,27.62,55.13,100.08,39.44
2016-04-12,423.7340087890625,8.04442024230957,31.51,28.25,614.26,70.9,9.28,2.84,28.02,55.97,100.16,38.2
2016-04-13,424.2820129394531,8.387240409851074,32.28,28.5,632.82,71.55,9.336,2.8,28.61,56.69,101.48,39.16
2016-04-14,429.7130126953125,8.242779731750488,33.02,28.12,633.95,69.7,9.26,2.81,29.221,56.3,100.06,40.19
2016-04-15,430.5719909667969,8.60949993133545,33.09,27.78,626.91,71.56,9.6337,2.7,27.4969,55.75,101.73,39.27
2016-04-18,435.5090026855469,8.714879989624023,33.0,29.55,636.02,71.36,9.5468,2.84,27.3,59.24,104.82,40.18
2016-04-19,441.3890075683594,8.465789794921875,33.84,28.55,644.4,73.15,9.2691,2.63,27.3325,58.47,104.64,39.44
2016-04-20,449.42498779296875,8.10216999053955,33.85,29.05,635.83,71.86,9.4505,2.7,27.2023,56.19,104.24,40.25
2016-04-21,445.73699951171875,7.82125997543335,32.69,28.7,638.0,71.02,9.3819,2.63,26.7172,57.21,104.14,41.7
2016-04-22,450.2820129394531,8.294790267944336,33.2,28.73,628.7,69.21,9.3965,4.09,26.61,52.89,106.13,41.7
2016-04-25,466.0889892578125,7.397039890289307,34.4,27.68,630.1,70.41,9.3433,3.46,26.76,53.9,105.1,41.09
2016-04-26,444.68701171875,7.759970188140869,34.9,28.14,636.27,69.6,9.53,3.77,26.3787,52.08,107.81,40.89
2016-04-27,449.010986328125,7.172530174255371,34.27,29.12,610.68,72.32,9.6242,3.77,24.76,53.22,108.13,40.71
2016-04-28,455.09698486328125,7.457290172576904,33.9,29.37,617.0,71.05,9.06,3.72,24.5764,52.1,106.51,41.26
2016-04-29,448.3179931640625,8.813980102539062,33.3,28.39,679.99,69.6,9.0161,3.6,24.585,51.13,103.28,40.78
2016-05-02,450.3039855957031,9.311269760131836,32.93,29.14,700.3,69.86,9.0,3.89,24.01,52.92,106.56,40.63
2016-05-03,446.72198486328125,9.413769721984863,32.0,29.9,703.28,69.0,9.1865,3.8,24.857,50.86,106.92,39.55
2016-05-04,447.97601318359375,9.82610034942627,31.06,29.93,672.7,69.38,9.12,3.8,24.5064,51.04,104.85,39.88
2016-05-05,459.6029968261719,9.346639633178711,30.6,29.31,691.43,67.46,8.7911,3.77,24.35,51.78,106.68,39.34
2016-05-06,458.5360107421875,9.37051010131836,31.49,29.34,680.38,68.35,9.1249,3.8,23.5,51.5,110.23,40.04
2016-05-09,450.8949890136719,9.361519813537598,31.33,30.08,700.06,70.76,8.97,3.67,23.38,50.16,109.93,40.18
2016-05-10,452.7279968261719,9.9962797164917,31.9,31.0,732.51,72.21,9.43,3.81,23.575,52.73,111.7,41.86
2016-05-11,454.7659912109375,10.05780029296875,29.9,30.87,715.26,67.01,9.076,3.71,24.1825,52.74,107.04,40.21
2016-05-12,455.6700134277344,10.506600379943848,29.4,29.45,722.09,69.06,9.3368,3.63,23.614,53.21,106.61,41.37
2016-05-13,455.6709899902344,10.239700317382812,29.16,29.46,715.7,67.54,10.255,3.81,23.38,52.0,101.82,39.62
2016-05-16,453.7829895019531,12.198800086975098,30.22,30.13,711.17,68.22,10.7323,3.92,24.51,51.89,105.22,40.5
2016-05-17,454.6189880371094,13.558600425720215,29.72,30.67,706.95,66.9,10.64,3.85,23.5059,51.85,103.55,39.398
2016-05-18,438.7149963378906,14.769700050354004,28.7,29.3,722.84,64.07,11.13,3.96,24.59,51.16,100.0,40.84
2016-05-19,442.6759948730469,13.635600090026855,28.88,28.56,707.93,72.5,11.3497,3.9,24.22,51.11,102.73,38.11
2016-05-20,443.18798828125,14.015000343322754,28.62,28.94,737.9,72.79,11.2989,3.95,24.603,52.19,104.68,37.99
2016-05-23,445.9809875488281,12.7322998046875,28.73,28.29,725.22,70.5,11.6,4.16,24.2118,50.85,100.57,39.75
2016-05-24,449.5989990234375,12.526000022888184,30.0,29.63,733.6,72.07,11.58,4.4,25.368,54.16,102.61,39.4
2016-05-25,453.3840026855469,12.430399894714355,30.08,29.77,714.52,72.36,11.4687,4.23,25.819,52.2,101.31,40.65
2016-05-26,473.4639892578125,11.29580020904541,31.36,28.98,734.86,72.11,11.486,4.4,25.9115,52.49,101.78,39.96
2016-05-27,530.0399780273438,11.892900466918945,29.4,29.55,720.71,71.54,12.017,4.8,26.2952,52.5,104.0,38.79
2016-05-31,536.9199829101562,14.001500129699707,30.5,30.17,738.07,71.28,12.14,4.65,25.916,54.0,102.97,38.97
2016-06-01,537.9719848632812,13.73799991607666,29.17,29.38,735.24,71.5,11.839,4.58,25.207,52.89,100.67,39.61
2016-06-02,569.1939697265625,13.846699714660645,29.57,29.08,764.64,72.57,12.355,4.36,25.36,53.42,100.94,39.32
2016-06-03,572.7269897460938,13.740400314331055,29.98,29.12,751.05,73.57,12.14,4.16,25.51,52.67,102.46,39.46
2016-06-06,576.5969848632812,14.51200008392334,29.02,28.72,741.6,72.61,11.87,4.54,24.8521,52.99,102.87,38.8
2016-06-07,581.64501953125,14.417699813842773,29.22,29.11,745.96,72.49,12.1141,4.71,25.136,53.3,103.25,39.13
2016-06-08,574.6300048828125,14.398599624633789,28.57,28.3,754.61,72.62,11.64,4.47,25.689,53.61,101.92,38.06
2016-06-09,577.469970703125,13.908599853515625,27.99,29.12,740.65,71.45,12.1,4.6,25.8854,52.82,98.63,38.3
2016-06-10,606.7269897460938,14.19159984588623,27.69,27.42,748.49,73.53,11.88,4.4,25.1899,53.48,99.44,37.28
2016-06-13,685.5590209960938,18.893199920654297,26.12,27.32,743.79,71.48,11.7265,4.6,24.622,52.61,100.62,37.6
2016-06-14,694.468994140625,18.354299545288086,26.42,26.7,722.0,74.32,12.14,4.4,24.594,50.88,102.0,37.62
